industry,code,name,role,aliases,industry_group,keywords
人工智能,688111,金山办公,办公AI/文档,金山办公|688111,人工智能,人工智能|AI办公|WPS|文档智能
人工智能,300496,中科创达,智能OS/物联网,中科创达|300496,人工智能,人工智能|操作系统|智能座舱|物联网
人工智能,300033,同花顺,金融AI/炒股软件,同花顺|300033,人工智能,人工智能|金融AI|炒股软件|量化
机器人,688017,绿的谐波,谐波减速器,绿的谐波|688017,机器人,机器人|谐波减速器|精密传动|关节
机器人,603728,鸣志电器,步进电机/控制,鸣志电器|603728,机器人,机器人|步进电机|伺服|运动控制
机器人,300124,汇川技术,伺服/PLC/电驱,汇川技术|300124,机器人,机器人|伺服|PLC|电驱|工业自动化
机器人,688320,禾川科技,伺服系统,禾川科技|688320,机器人,机器人|伺服系统|编码器|PLC
机器人,002009,天奇股份,自动化装备/机器人,天奇股份|002009,机器人,机器人|自动化装备|智能物流|拆解
医药创新,600276,恒瑞医药,创新药龙头,恒瑞医药|600276,医药,创新药|肿瘤药|PD-1|ADC|创新药出海
医药创新,688235,百济神州,创新药全球化,百济神州|BeiGene|688235,医药,创新药|BTK|PD-1|肿瘤|全球化
医药创新,603259,药明康德,CXO龙头,药明康德|603259,医药,CXO|CRO|CDMO|医药外包
医药创新,002821,凯莱英,CDMO,凯莱英|002821,医药,CDMO|制药外包|连续流化学
医药创新,300347,泰格医药,临床CRO,泰格医药|300347,医药,临床CRO|临床试验|医药外包
医药创新,600196,复星医药,综合药企/生物药,复星医药|600196,医药,创新药|生物药|CAR-T|疫苗
